scope,path,type,size_bytes,sha256,classification,action,reason,evidence_static,evidence_references,evidence_tests,rollback,commit
CANONICAL,.gitignore,configuration,,,,KEEP,UPDATED_SAFE_RULES,14 hidden project JSON/CSV files inventoried before and 0 after; fixture matrix passed,No active source/data path was hidden by broad extension rules,DOC-022 diagnostic 1/1 and diagnostics 26/26,revert commit 0585275,0585275
CANONICAL,mail/providers/yandex.py,source hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_3_UNUSED_IMPORTS_AND_1_UNUSED_EXCEPTION_BINDING,Ruff F401 plus F841 and manual import/reference check,provider adapter reviewed as dynamic surface; only bindings with no call/reference were changed,full backend 412/0/0/1 plus mail integration tests passed,revert commit d2ceef3,d2ceef3
CANONICAL,mail/service.py,source hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_2_UNUSED_IMPORTS_AND_UNUSED_LOCAL_TIMEZONE_BINDING,Ruff F401 plus import/reference check,mail service public methods and provider calls retained,full backend 412/0/0/1 plus mail tests passed,revert commit d2ceef3,d2ceef3
CANONICAL,mail/types.py,source hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_UNUSED_TYPING_IMPORT,Ruff F401 plus reference check,dataclass/type contract unchanged,full backend 412/0/0/1,revert commit d2ceef3,d2ceef3
CANONICAL,scripts/supplier_identity_audit.py,source hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_UNUSED_LITERAL_ASSIGNMENT,Ruff F841 plus manual side-effect check,CLI and audit functions retained,identity tests and full backend passed,revert commit d2ceef3,d2ceef3
CANONICAL,supplier_app.py,source hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_3_UNUSED_IMPORTS,Ruff F401 plus route/import check,HTTP handlers and entrypoint imports retained,full backend and safe HTTP smoke passed,revert commit d2ceef3,d2ceef3
CANONICAL,supplier_discovery_v2/pipeline.py,source hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_UNUSED_MODEL_IMPORT,Ruff F401 plus pipeline reference check,pipeline runtime and query planner imports retained,discovery tests and full backend passed,revert commit d2ceef3,d2ceef3
CANONICAL,supplier_discovery_v2/tests/test_storage.py,test hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_UNUSED_TEST_IMPORT,Ruff F401 plus test reference check,test behavior unchanged,storage and full backend tests passed,revert commit d2ceef3,d2ceef3
CANONICAL,tests/diagnostics/test_diagnostic_negative_fixtures.py,test hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_UNUSED_TEST_IMPORT,Ruff F401 plus test reference check,negative fixture calls unchanged,diagnostic tests 26/26,revert commit d2ceef3,d2ceef3
CANONICAL,tests/test_mail_deliverability.py,test hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_UNUSED_TEST_IMPORT,Ruff F401 plus test reference check,deliverability assertions unchanged,mail deliverability and full backend tests passed,revert commit d2ceef3,d2ceef3
CANONICAL,tests/test_mail_integration.py,test hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_3_UNUSED_TEST_IMPORTS,Ruff F401 plus test reference check,mail integration fixtures and provider contract unchanged,mail integration and full backend tests passed,revert commit d2ceef3,d2ceef3
CANONICAL,tests/test_supplier_identity.py,test hygiene,,,,DELETE_HIGH_CONFIDENCE,REMOVED_UNUSED_TEST_IMPORT,Ruff F401 plus test reference check,iso_now remains because it is used,identity and full backend tests passed,revert commit d2ceef3,d2ceef3
CANONICAL,ai/inbox/.gitkeep,duplicate,,,,KEEP,NOT_DELETED_EXACT_DUPLICATE,Hash 7eb702... and path-role review,independent empty control directory,duplicate audit and validators passed,no rollback needed,d2ceef3
CANONICAL,ai/reports/.gitkeep,duplicate,,,,KEEP,NOT_DELETED_EXACT_DUPLICATE,Hash 7eb702... and path-role review,independent empty control directory,duplicate audit and validators passed,no rollback needed,d2ceef3
CANONICAL,supplier_discovery_v2/tests/__init__.py,duplicate,,,,KEEP,NOT_DELETED_EXACT_DUPLICATE,Hash e3b0c4... and package-role review,discovery test package namespace,full backend and discovery tests passed,no rollback needed,d2ceef3
CANONICAL,tests/__init__.py,duplicate,,,,KEEP,NOT_DELETED_EXACT_DUPLICATE,Hash e3b0c4... and package-role review,main test package namespace,full backend tests passed,no rollback needed,d2ceef3
CANONICAL,frontend/src/components/suppliers/RiskFactors.tsx,frontend candidate,2835,,REVIEW_REQUIRED,KEEP,Knip reported no imports but this is canonical UI code,No rg import or route reference found; potential planned component cannot be ruled out,frontend typecheck lint build and Playwright 8/8 passed without deletion,review before any future deletion,d2ceef3
CANONICAL,frontend/lighthouserc.cjs,frontend config,610,,KEEP,KEEP,Knip file candidate is a manual Lighthouse CI config,Referenced by default lhci command/config discovery,frontend npm ci typecheck lint build passed; no config deletion,n/a,d2ceef3
CANONICAL,frontend/playwright.live-email.config.ts,frontend config,433,,KEEP,KEEP,Manual live-email acceptance config with explicit test match,May be invoked directly by operators even without package script,frontend install and Playwright gates passed; real mail not run,n/a,d2ceef3
CANONICAL,frontend/playwright.real-email.config.ts,frontend config,437,,KEEP,KEEP,Manual real-email diagnostic config with explicit test match,May be invoked directly by operators; real provider access forbidden,frontend install and Playwright gates passed; real mail not run,n/a,d2ceef3
CANONICAL,frontend/package.json:lighthouse,dev dependency,, ,REVIEW_REQUIRED,KEEP,Knip reported one direct dependency but user allowlist authorized only Python cleanup,lhci uses its own declared Lighthouse dependency and no direct removal was approved,npm ci typecheck lint build passed; dependency removal not attempted,requires separate dependency-cleanup approval,d2ceef3
LEGACY,.agents/skills/neon/SKILL.md,legacy unknown,29140,E164A3E8B63FFC4C18C266F0DFD93564296200C7FDC234614D87F6AF0D4A0855,QUARANTINE,MOVED_TO_EXTERNAL_QUARANTINE,Stale local agent artifact; no current canonical/global owner proven,only lock/audit/history references; no active process or runtime reference,pre/post move size and SHA-256 identical,move back from quarantine if separately approved,external quarantine
