path,source_type,original_category,prior_action,action,reason
benchmarks/enrichment_cases.json,project_owned_ignored,CONFIG,KEEP,TRACK_TEST,Tracked enrichment tests require this offline case index; it contains no credentials mailbox data or secret values.
ai/DECISIONS.md,modified_tracked,AI_STATE,MODIFIED,TRACK_CANONICAL,Diff contains current accepted decisions/findings dated 2026-09-01 and references tracked reports; preserve in control baseline.
ai/DEFERRED_FINDINGS.md,modified_tracked,AI_STATE,MODIFIED,TRACK_CANONICAL,Diff contains current accepted decisions/findings dated 2026-09-01 and references tracked reports; preserve in control baseline.
.agents/skills/neon/SKILL.md,project_owned_untracked,CURRENT_DOC,KEEP,UNKNOWN_REVIEW,No current runtime or documentation owner was proven; retained locally for a separate owner decision.
ai/reports/TASK-MAIL-DELIVERY-UNKNOWN-VERIFY-20260831-report.md,project_owned_untracked,AI_STATE,KEEP,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
ai/reports/TASK-MAIL-DUPLICATE-GUARD-20260831-report.md,project_owned_untracked,AI_STATE,KEEP,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
ai/reports/TASK-MAIL-IDN-DELIVERY-CONTINUATION-FIX-20260831-report.md,project_owned_untracked,AI_STATE,KEEP,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
ai/reports/TASK-MAILRU-REMAINING-CONTINUATION-20260831-report.md,project_owned_untracked,AI_STATE,KEEP,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
ai/reports/TASK-PROJECT-RECOVERY-20260831-report.md,project_owned_untracked,AI_STATE,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
CAMPAIGN_130_LIVE_RESULT.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
CAMPAIGN_HEALTH_CORRECTIVE_LIVE_RESULT.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
EMAIL_CAMPAIGN_UI_ITERATION4.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
EMAIL_CAMPAIGN_UI_ITERATION4_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
EMAIL_CAMPAIGN_UI_ITERATION4_STEP0.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
